													Vol%	Vol%	Vol%	Vol%
Erntejahr	VN	Standort	Reihe	Spalte	Fruchtfolge	FF-Glied	N-Form	N-Menge	Block	Aufwuchs	Methode	Datum	WAS 0-30 /5-25	WAS 30-60 / 30-50	WAS 60-90 / 60-80	WAS 90-110
2007	112	2	16	4	1	1	4	2	4	1	grav	08.10.2007	0.179927007	0.205216067	0.27217497	.
2007	112	2	16	5	4	1	2	3	4	4	grav	08.10.2007	0.218102652	0.19666931	0.20097371	.
2007	112	2	16	6	4	1	4	2	4	4	grav	08.10.2007	0.233093126	0.218836565	0.214440774	.
2008	112	2	1	1	4	1	3	4	1	1	grav	20.11.2007	0.314652598	0.234394904	0.351197263	.
2008	112	2	1	2	1	1	2	4	1	1	grav	20.11.2007	0.310575636	0.195372751	0.252302888	.
2008	112	2	1	3	4	1	4	3	1	1	grav	20.11.2007	0.361220677	0.222784057	0.247959042	.
2008	112	2	1	4	1	1	1	4	1	1	grav	20.11.2007	0.270917953	0.190238491	0.217821782	.
2008	112	2	1	5	1	1	1	2	1	1	grav	20.11.2007	0.258811568	0.21902378	0.217508216	.
2008	112	2	1	6	4	1	1	2	1	1	grav	20.11.2007	0.269693654	0.181209551	0.21257414	.
2008	112	2	2	1	1	1	3	4	1	1	grav	20.11.2007	0.229731659	0.180873735	0.21947625	.
2008	112	2	2	2	4	1	4	2	1	1	grav	20.11.2007	0.309268068	0.218018018	0.23284061	.
2008	112	2	2	3	4	1	1	3	1	1	grav	20.11.2007	0.290683962	0.199772516	0.216535881	.
2008	112	2	2	4	1	1	5	4	1	1	grav	20.11.2007	0.299855111	0.198009429	0.21159543	.
2008	112	2	2	5	1	1	2	3	1	1	grav	20.11.2007	0.287522167	0.242975207	0.301518679	.
2008	112	2	2	6	4	1	2	3	1	1	grav	20.11.2007	0.272483221	0.247698916	0.18319975	.
2008	112	2	3	1	4	1	4	4	1	1	grav	20.11.2007	0.302894153	0.247757982	0.271186441	.
2008	112	2	3	2	1	1	1	3	1	1	grav	20.11.2007	0.290287097	0.212526895	0.187258687	.
2008	112	2	3	3	4	1	1	4	1	1	grav	20.11.2007	0.267725258	0.18218384	0.180512821	.
2008	112	2	3	4	4	1	2	2	1	1	grav	20.11.2007	0.301783944	0.174409128	0.210889382	.
2008	112	2	3	5	4	1	2	4	1	1	grav	20.11.2007	.	0.242067736	0.175859313	.
2008	112	2	3	6	4	1	5	4	1	1	grav	20.11.2007	0.303872437	0.137931034	0.169570684	.
2008	112	2	4	1	1	1	4	2	1	1	grav	20.11.2007	0.258007117	0.159182499	0.159806295	.
2007	112	2	4	2	1	1	1	1	1	1	TDR	20.02.2007	.	.	.	.
2008	112	2	4	3	4	1	1	1	1	1	grav	20.11.2007	0.281145532	0.161318915	0.213570634	.
2008	112	2	4	4	1	1	4	4	1	1	grav	20.11.2007	0.278119181	0.130285714	0.13961098	.
